Vuln ID,Rule ID,STIG ID,Rule Title,Discussion,Check Content,Fix Text
V-38437,SV-50237r1_rule,RHEL-06-000526,Automated file system mounting tools must not be enabled unless needed.,"All filesystems that are required for the successful operation of the system should be explicitly listed in '/etc/fstab' by an administrator. New filesystems should not be arbitrarily introduced via the automounter.The 'autofs' daemon mounts and unmounts filesystems, such as user home directories shared via NFS, on demand. In addition, autofs can be used to handle removable media, and the default configuration provides the cdrom device as '/misc/cd'. However, this method of providing access to removable media is not common, so autofs can almost always be disabled if NFS is not in use. Even if NFS is required, it is almost always possible to configure filesystem mounts statically by editing '/etc/fstab' rather than relying on the automounter. ","To verify the 'autofs' service is disabled, run the following command: chkconfig --list autofsIf properly configured, the output should be the following: autofs 0:off 1:off 2:off 3:off 4:off 5:off 6:offVerify the 'autofs' service is not running:# service autofs statusIf the autofs service is enabled or running, this is a finding.","If the 'autofs' service is not needed to dynamically mount NFS filesystems or removable media, disable the service for all runlevels: # chkconfig --level 0123456 autofs offStop the service if it is already running: # service autofs stop"
V-38438,SV-50238r1_rule,RHEL-06-000525,Auditing must be enabled at boot by setting a kernel parameter.,"Each process on the system carries an 'auditable' flag which indicates whether its activities can be audited. Although 'auditd' takes care of enabling this for all processes which launch after it does, adding the kernel argument ensures it is set for every process during boot.","Inspect the kernel boot arguments (which follow the word 'kernel') in '/etc/grub.conf'. If they include 'audit=1', then auditing is enabled at boot time. If auditing is not enabled at boot time, this is a finding.","To ensure all processes can be audited, even those which start prior to the audit daemon, add the argument 'audit=1' to the kernel line in '/etc/grub.conf', in the manner below: kernel /vmlinuz-version ro vga=ext root=/dev/VolGroup00/LogVol00 rhgb quiet audit=1"
V-38439,SV-50239r1_rule,RHEL-06-000524,The system must provide automated support for account management functions.,A comprehensive account management process that includes automation helps to ensure the accounts designated as requiring attention are consistently and promptly addressed. Enterprise environments make user account management challenging and complex. A user management process requiring administrators to manually address account management functions adds risk of potential oversight.,"Interview the SA to determine if there is an automated system for managing user accounts, preferably integrated with an existing enterprise user management system.If there is not, this is a finding.","Implement an automated system for managing user accounts that minimizes the risk of errors, either intentional or deliberate.  If possible, this system should integrate with an existing enterprise user management system, such as, one based Active Directory or Kerberos."
V-38443,SV-50243r1_rule,RHEL-06-000036,The /etc/gshadow file must be owned by root.,The '/etc/gshadow' file contains group password hashes. Protection of this file is critical for system security.,"To check the ownership of '/etc/gshadow', run the command: $ ls -l /etc/gshadowIf properly configured, the output should indicate the following owner: 'root' If it does not, this is a finding.","To properly set the owner of '/etc/gshadow', run the command: # chown root /etc/gshadow"
V-38444,SV-50244r1_rule,RHEL-06-000523,"The systems local IPv6 firewall must implement a deny-all, allow-by-exception policy for inbound packets.","In 'ip6tables' the default policy is applied only after all the applicable rules in the table are examined for a match. Setting the default policy to 'DROP' implements proper design for a firewall, i.e., any packets which are not explicitly permitted should not be accepted.","Inspect the file '/etc/sysconfig/ip6tables' to determine the default policy for the INPUT chain. It should be set to DROP. # grep ':INPUT' /etc/sysconfig/ip6tablesIf the default policy for the INPUT chain is not set to DROP, this is a finding.","To set the default policy to DROP (instead of ACCEPT) for the built-in INPUT chain which processes incoming packets, add or correct the following line in '/etc/sysconfig/ip6tables': :INPUT DROP [0:0]"
V-38445,SV-50245r1_rule,RHEL-06-000522,Audit log files must be group-owned by root.,"If non-privileged users can write to audit logs, audit trails can be modified or destroyed.","Run the following command to check the group owner of the system audit logs: grep '^log_file' /etc/audit/auditd.conf|sed s/^[^\/]*//|xargs stat -c %G:%nAudit logs must be group-owned by root. If they are not, this is a finding.",Change the group owner of the audit log files with the following command: # chgrp root [audit_file]
V-38446,SV-50246r1_rule,RHEL-06-000521,The mail system must forward all mail for root to one or more system administrators.,A number of system services utilize email messages sent to the root user to notify system administrators of active or impending issues.  These messages must be forwarded to at least one monitored email address.,"Find the list of alias maps used by the Postfix mail server:# postconf alias_mapsQuery the Postfix alias maps for an alias for 'root':# postmap -q root <alias_map>If there are no aliases configured for root that forward to a monitored email address, this is a finding.",Set up an alias for root that forwards to a monitored email address:# echo 'root: <system.administrator>@mail.mil' >> /etc/aliases# newaliases
V-38447,SV-50247r1_rule,RHEL-06-000519,The system package management tool must verify contents of all files associated with packages.,The hash on important files like system executables should match the information given by the RPM database. Executables with erroneous hashes could be a sign of nefarious activity on the system.,"The following command will list which files on the system have file hashes different from what is expected by the RPM database. # rpm -Va | grep '$1 ~ /..5/ && $2 != 'c''If there is output, this is a finding.","The RPM package management system can check the hashes of installed software packages, including many that are important to system security. Run the following command to list which files on the system have hashes that differ from what is expected by the RPM database: # rpm -Va | grep '^..5'A 'c' in the second column indicates that a file is a configuration file, which may appropriately be expected to change. If the file that has changed was not expected to then refresh from distribution media or online repositories. rpm -Uvh [affected_package]OR yum reinstall [affected_package]"
V-38448,SV-50248r1_rule,RHEL-06-000037,The /etc/gshadow file must be group-owned by root.,The '/etc/gshadow' file contains group password hashes. Protection of this file is critical for system security.,"To check the group ownership of '/etc/gshadow', run the command: $ ls -l /etc/gshadowIf properly configured, the output should indicate the following group-owner. 'root' If it does not, this is a finding.","To properly set the group owner of '/etc/gshadow', run the command: # chgrp root /etc/gshadow"
V-38449,SV-50249r1_rule,RHEL-06-000038,The /etc/gshadow file must have mode 0000.,The /etc/gshadow file contains group password hashes. Protection of this file is critical for system security.,"To check the permissions of '/etc/gshadow', run the command: $ ls -l /etc/gshadowIf properly configured, the output should indicate the following permissions: '----------' If it does not, this is a finding.","To properly set the permissions of '/etc/gshadow', run the command: # chmod 0000 /etc/gshadow"
